line_id,title,pony,prev_pony,prev_dialog,dialog,next_pony,next_dialog
87,Celestial Advice,Princess Celestia,Princess Celestia,"[voiceover] Uh, yes, Spike. I had a decision to make. Oh, but it wasn't easy.","Maybe I could close the library or throw a party in the castle. Oh, she'd have to talk to the other fillies then! Oh. I must send her away.",Princess Celestia,"[voiceover] I knew there was a special group of fillies in Ponyville, but I kept inventing all kinds of reasons why I shouldn't send you."
88,Celestial Advice,Princess Celestia,Princess Celestia,"Maybe I could close the library or throw a party in the castle. Oh, she'd have to talk to the other fillies then! Oh. I must send her away.","[voiceover] I knew there was a special group of fillies in Ponyville, but I kept inventing all kinds of reasons why I shouldn't send you.",Princess Celestia,"What if she runs into a manticore? Or what if she gets pulled into Tartarus? Or, worst of all, what if she doesn't get along with anypony?!"
89,Celestial Advice,Princess Celestia,Princess Celestia,"[voiceover] I knew there was a special group of fillies in Ponyville, but I kept inventing all kinds of reasons why I shouldn't send you.","What if she runs into a manticore? Or what if she gets pulled into Tartarus? Or, worst of all, what if she doesn't get along with anypony?!",Princess Celestia,[voiceover] I kept you in Canterlot longer than I should have.
90,Celestial Advice,Princess Celestia,Princess Celestia,"What if she runs into a manticore? Or what if she gets pulled into Tartarus? Or, worst of all, what if she doesn't get along with anypony?!",[voiceover] I kept you in Canterlot longer than I should have.,Princess Celestia,"Eventually, I realized all the anxiety I felt was because I didn't want you to go."
91,Celestial Advice,Princess Celestia,Princess Celestia,[voiceover] I kept you in Canterlot longer than I should have.,"Eventually, I realized all the anxiety I felt was because I didn't want you to go.",Princess Celestia,"And if you're still worried, you can always make her write you letters."
92,Celestial Advice,Princess Celestia,Princess Celestia,"Eventually, I realized all the anxiety I felt was because I didn't want you to go.","And if you're still worried, you can always make her write you letters.",Princess Celestia,"I loved having you as a student. You challenged me and taught me just as much as I taught you. I am embarrassed to admit it, but I was afraid if you made friends, you wouldn't need me anymore."
93,Celestial Advice,Princess Celestia,Princess Celestia,"And if you're still worried, you can always make her write you letters.","I loved having you as a student. You challenged me and taught me just as much as I taught you. I am embarrassed to admit it, but I was afraid if you made friends, you wouldn't need me anymore.",Princess Celestia,"Here we are after all these years, Twilight. We are living proof that letting someone spread their wings doesn't mean you no longer have a place in their lives."
94,Celestial Advice,Princess Celestia,Princess Celestia,"I loved having you as a student. You challenged me and taught me just as much as I taught you. I am embarrassed to admit it, but I was afraid if you made friends, you wouldn't need me anymore.","Here we are after all these years, Twilight. We are living proof that letting someone spread their wings doesn't mean you no longer have a place in their lives.",Princess Celestia,[voiceover] She was truly one of my best students.
95,Celestial Advice,Princess Celestia,Princess Celestia,"Here we are after all these years, Twilight. We are living proof that letting someone spread their wings doesn't mean you no longer have a place in their lives.",[voiceover] She was truly one of my best students.,,
96,Fall Weather Friends,Princess Celestia,,,Sounds to me that an important lesson was learned.,Princess Celestia,"Fall is one of my favorite seasons, so I came to celebrate the Running of the Leaves."
