line_id,character,dialog,title
274,Princess Celestia,"Good luck, my little ponies. The fate of Equestria is in your hooves.",The Return of Harmony Part 1
275,Princess Celestia,"This is Canterlot Tower, where the Elements are kept inside since all of you recovered them. I need you to wield the Elements of Harmony once again and stop Discord before he thrusts all of Equestria into eternal chaos.",The Return of Harmony Part 1
276,Princess Celestia,"Have no fear, ponies. I have total confidence that you will be able to defeat Discord with these!",The Return of Harmony Part 1
279,Princess Celestia,We are gathered here today to once again honor the heroism of these six friends who stood up to the villain Discord and saved Equestria from eternal chaos.,The Return of Harmony Part 2
281,Princess Celestia,"Thorax, as the new leader of the changelings, I look forward to discussing how we can improve our relationship in the future. However, for the moment, perhaps it is best that we leave the Changeling Kingdom to the changelings.",To Where and Back Again - Part 2
286,Princess Celestia,Having all four of us in the Empire to greet them lets the dignitaries know that their visit is considered an important one.,Twilight's Kingdom - Part 1
288,Princess Celestia,"Then we haven't much time. The stronger he becomes, the more we are all in danger.",Twilight's Kingdom - Part 1
289,Princess Celestia,But there is one solution. It is only by making this sacrifice that Equestria and the lands beyond it might be saved. We must rid ourselves of our magic before Tirek has the chance to steal it from us.,Twilight's Kingdom - Part 1
291,Princess Celestia,"No, Twilight. I'm afraid I must call in another to stop Tirek. Discord.",Twilight's Kingdom - Part 1
293,Princess Celestia,You are a princess; you'll play your part,Twilight's Kingdom - Part 1
295,Princess Celestia,Then it is unlikely you are meant to take on this task alone.,Twilight's Kingdom - Part 2
296,Princess Celestia,[out of breath] It is done.,Twilight's Kingdom - Part 2
298,Princess Celestia,"You are now Twilight Sparkle, the princess of friendship. But what is the princess of friendship without her friends?",Twilight's Kingdom - Part 2
299,Princess Celestia,"I'm sorry, Princess Twilight, but you must keep your new abilities a secret. I fear that your friends being aware of your new power could put them at great risk. Do you still think you can take on this responsibility?",Twilight's Kingdom - Part 2
300,Princess Celestia,Then we must begin at once.,Twilight's Kingdom - Part 2
301,Princess Celestia,"I believe it is yours, Princess Twilight.",Twilight's Kingdom - Part 2
302,Princess Celestia,You've been wondering what you are meant to do as a princess. Do you know now?,Twilight's Kingdom - Part 2
303,Princess Celestia,"You will not prevail, Tirek.",Twilight's Kingdom - Part 2
102,Sweetie Belle,Now we just need to keep them apart. I'll keep Miss Cheerilee occupied. You two do the same with Big Mac.,Hearts and Hooves Day
182,Sweetie Belle,"We gave up too quickly, girls. Forget trying to squeeze stories out of this school. We need to expand!",Ponyville Confidential
194,Sweetie Belle,Cozy Glow did all of this? How? Why?,School Raze - Part 2
196,Sweetie Belle,"But Starlight's trapped here, and there's no way to get word to Celestia or anypony else!",School Raze - Part 2
